"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.866144269E1,5.238718180E1,4.950255040E0,-1.305831673E0,3.079999924E0,1.618999939E2,3.790092468E0,2.500000000E0
5.966147451E1,5.238715326E1,4.950267740E0,-1.241777992E0,3.009999990E0,1.666999969E2,3.790092468E0,2.500000000E0
6.066185420E1,5.238712781E1,4.950280050E0,-1.651719162E0,2.849999905E0,1.606000061E2,3.790092468E0,2.500000000E0
6.166191753E1,5.238710258E1,4.950287270E0,-2.403337791E0,2.930000067E0,1.731999969E2,3.790092468E0,2.500000000E0
6.266243899E1,5.238707363E1,4.950290060E0,-1.594722600E0,2.920000076E0,1.776000061E2,3.790092468E0,2.500000000E0
6.366974529E1,5.238704385E1,4.950298950E0,-9.316128476E-1,2.990000010E0,1.673000031E2,3.790092468E0,2.500000000E0
6.466375253E1,5.238701422E1,4.950307710E0,-5.132539339E-1,2.930000067E0,1.765000000E2,3.790092468E0,2.500000000E0
6.566303721E1,5.238698563E1,4.950314260E0,-2.647556676E-1,2.930000067E0,1.766000061E2,3.790092468E0,2.500000000E0
6.666302826E1,5.238695827E1,4.950321940E0,-6.060377061E-1,2.910000086E0,1.743000031E2,3.790092468E0,2.500000000E0
6.766302107E1,5.238693152E1,4.950333380E0,-6.615213359E-2,2.829999924E0,1.718999939E2,3.790092468E0,2.500000000E0
6.866133237E1,5.238690557E1,4.950347400E0,7.773998813E-2,2.910000086E0,1.643999939E2,3.790092468E0,2.500000000E0
6.966438435E1,5.238688062E1,4.950366570E0,1.018855591E-1,2.950000048E0,1.553999939E2,3.790092468E0,2.500000000E0
7.066233107E1,5.238685609E1,4.950388910E0,5.518758609E-1,2.910000086E0,1.568000031E2,3.790092468E0,2.500000000E0
7.166221633E1,5.238683459E1,4.950419600E0,2.878860863E-1,3.049999952E0,1.383000031E2,3.790092468E0,2.500000000E0
7.266453101E1,5.238682276E1,4.950454070E0,-8.289923950E-2,2.309999943E0,1.134000015E2,3.790092468E0,2.500000000E0
7.366422367E1,5.238681584E1,4.950487390E0,-9.117470921E-1,2.289999962E0,1.136999969E2,3.790092468E0,2.530617237E0
7.466402325E1,5.238681004E1,4.950525970E0,-5.598041512E-1,2.309999943E0,1.078000031E2,3.790092468E0,2.581888437E0
7.566309789E1,5.238680711E1,4.950567100E0,-4.499210669E-1,2.470000029E0,9.650000000E1,3.790092468E0,2.624321461E0
7.666203794E1,5.238680515E1,4.950615070E0,2.435245144E-1,2.759999990E0,9.240000153E1,3.790092468E0,2.644429207E0
7.766389705E1,5.238680499E1,4.950661770E0,3.850310006E-1,2.740000010E0,8.590000153E1,3.790092468E0,2.641230345E0
7.866205914E1,5.238680308E1,4.950712940E0,1.422411624E0,2.980000019E0,9.259999847E1,3.790092468E0,2.500000000E0
7.966196658E1,5.238680229E1,4.950761550E0,1.236586783E0,2.910000086E0,8.650000000E1,3.790092468E0,2.500000000E0
8.067014268E1,5.238680286E1,4.950809780E0,9.521308454E-1,2.970000029E0,8.669999695E1,3.790092468E0,2.500000000E0
8.166245632E1,5.238680425E1,4.950855620E0,1.126659057E0,2.910000086E0,8.350000000E1,3.790092468E0,2.500000000E0
8.266180085E1,5.238680577E1,4.950897680E0,1.019752145E0,2.829999924E0,8.450000000E1,3.790092468E0,2.500000000E0
8.366313538E1,5.238680418E1,4.950942750E0,8.183601366E-1,3.009999990E0,9.350000000E1,3.790092468E0,2.500000000E0
