Unnamed: 0,id,Time (s),X (m/s^2)_acc,Y (m/s^2)_acc,Z (m/s^2)_acc,X (m/s^2)_lin_acc,Y (m/s^2)_lin_acc,Z (m/s^2)_lin_acc,genre
,5,6.573414594,,,,,,,Dance
,5,6.593360167,,,,,,,Dance
,5,6.613306469,,,,,,,Dance
,5,6.633253969,,,,,,,Dance
,5,6.653203084,,,,,,,Dance
,5,6.673154125,,,,,,,Dance
,5,6.693107354,,,,,,,Dance
,5,6.713062875,,,,,,,Dance
,5,6.733020688,,,,,,,Dance
,5,6.75298074,,,,,,,Dance
,5,6.772942927,,,,,,,Dance
,5,6.792907042,,,,,,,Dance
,5,6.812887771,,,,,,,Dance
,5,6.832871521,,,,,,,Dance
,5,6.852830271,,,,,,,Dance
,5,6.872788917,,,,,,,Dance
,5,6.892747563,,,,,,,Dance
,5,6.912706209,,,,,,,Dance
,5,6.932664854,,,,,,,Dance
,5,6.9526235,,,,,,,Dance
,5,6.972582146,,,,,,,Dance
,5,6.992540792,,,,,,,Dance
,5,7.012499438,,,,,,,Dance
,5,7.032458084,,,,,,,Dance
,5,7.052416729,,,,,,,Dance
,5,7.072384594,,,,,,,Dance
,5,7.092327407,,,,,,,Dance
,5,7.112271157,,,,,,,Dance
,5,7.132216417,,,,,,,Dance
,5,7.152163657,,,,,,,Dance
,5,7.17211324,,,,,,,Dance
,5,7.192065427,,,,,,,Dance
,5,7.212020375,,,,,,,Dance
,5,7.231978136,,,,,,,Dance
,5,7.251938604,,,,,,,Dance
,5,7.271901573,,,,,,,Dance
,5,7.291866782,,,,,,,Dance
,5,7.31185324,,,,,,,Dance
,5,7.331840115,,,,,,,Dance
,5,7.351798865,,,,,,,Dance
,5,7.371757615,,,,,,,Dance
,5,7.391716365,,,,,,,Dance
,5,7.411675115,,,,,,,Dance
,5,7.431633865,,,,,,,Dance
,5,7.451592615,,,,,,,Dance
,5,7.471551365,,,,,,,Dance
,5,7.491510115,,,,,,,Dance
,5,7.511468865,,,,,,,Dance
,5,7.531427615,,,,,,,Dance
,5,7.551386365,,,,,,,Dance
,5,7.571355532,,,,,,,Dance
,5,7.591294021,,,,,,,Dance
,5,7.611233657,,,,,,,Dance
,5,7.631175167,,,,,,,Dance
,5,7.651119177,,,,,,,Dance
,5,7.671066209,,,,,,,Dance
,5,7.691016573,,,,,,,Dance
,5,7.710970479,,,,,,,Dance
,5,7.730927979,,,,,,,Dance
,5,7.750888969,,,,,,,Dance
,5,7.77085324,,,,,,,Dance
,5,7.790820427,,,,,,,Dance
,5,7.810811782,,,,,,,Dance
,5,7.830809073,,,,,,,Dance
,5,7.850767823,,,,,,,Dance
,5,7.870726573,,,,,,,Dance
,5,7.890685323,,,,,,,Dance
,5,7.910644073,,,,,,,Dance
,5,7.930602823,,,,,,,Dance
,5,7.950561573,,,,,,,Dance
,5,7.970520323,,,,,,,Dance
,5,7.990479073,,,,,,,Dance
,5,8.010437823,,,,,,,Dance
,5,8.030396573,,,,,,,Dance
,5,8.050355323,,,,,,,Dance
,5,8.070326261,,,,,,,Dance
,5,8.090261417,,,,,,,Dance
,5,8.110197927,,,,,,,Dance
,5,8.130136625,,,,,,,Dance
,5,8.15007824,,,,,,,Dance
,5,8.170023344,,,,,,,Dance
,5,8.189972354,,,,,,,Dance
,5,8.209925479,,,,,,,Dance
,5,8.229882771,,,,,,,Dance
,5,8.249844125,,,,,,,Dance
,5,8.269809282,,,,,,,Dance
,5,8.289777823,,,,,,,Dance
,5,8.309774177,,,,,,,Dance
,5,8.329778136,,,,,,,Dance
,5,8.349736886,,,,,,,Dance
,5,8.369695636,,,,,,,Dance
,5,8.389654386,,,,,,,Dance
,5,8.409613136,,,,,,,Dance
,5,8.429571886,,,,,,,Dance
,5,8.449530636,,,,,,,Dance
,5,8.469489386,,,,,,,Dance
,5,8.489448136,,,,,,,Dance
,5,8.509406886,,,,,,,Dance
,5,8.529365636,,,,,,,Dance
,5,8.549324386,,,,,,,Dance
,5,8.569346,,,,,,,Dance
,5,8.589242042,,,,,,,Dance
,5,8.609140584,,,,,,,Dance
,5,8.629043917,,,,,,,Dance
,5,8.648954021,,,,,,,Dance
,5,8.668872563,,,,,,,Dance
,5,8.688800896,,,,,,,Dance
,5,8.70873975,,,,,,,Dance
,5,8.728689542,,,,,,,Dance
,5,8.748650167,,,,,,,Dance
,5,8.768621104,,,,,,,Dance
,5,8.788601521,,,,,,,Dance
,5,8.808590167,,,,,,,Dance
,5,8.828585479,,,,,,,Dance
,5,8.848585792,,,,,,,Dance
,5,8.868589229,,,,,,,Dance
,5,8.888593813,,,,,,,Dance
,5,8.90858225,,,,,,,Dance
,5,8.928541,,,,,,,Dance
,5,8.94849975,,,,,,,Dance
,5,8.9684585,,,,,,,Dance
,5,8.98841725,,,,,,,Dance
,5,9.008376,,,,,,,Dance
,5,9.02833475,,,,,,,Dance
,5,9.0482935,,,,,,,Dance
,5,9.068318865,,,,,,,Dance
,5,9.088211157,,,,,,,Dance
,5,9.108106052,,,,,,,Dance
,5,9.128006052,,,,,,,Dance
