"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.382070792E0,8.586804390E0,2.045246840E0,3.057395458E0
2.402029438E0,6.137536049E0,3.115454912E0,3.210624456E0
2.421988084E0,4.195838451E0,4.092289448E0,3.213018656E0
2.441946729E0,3.041833162E0,4.130596638E0,2.949656487E0
2.461905375E0,2.546233416E0,3.970185041E0,3.145981073E0
2.481864021E0,2.783259392E0,4.571129799E0,4.242525578E0
2.501822667E0,7.864952683E-1,6.919841290E0,7.117961884E0
2.521781313E0,-1.088523769E1,1.359008694E1,1.551682091E1
2.541739959E0,-1.609741592E1,1.924279785E1,2.251507187E1
2.561718396E0,-2.558563614E1,1.929786491E1,2.448071289E1
2.581658292E0,-3.320398712E1,1.715266037E1,1.899798965E1
2.601598917E0,-2.401503944E1,1.185429096E1,8.664615631E0
2.621540896E0,-1.150533581E1,6.792948723E0,2.774879694E0
2.641484854E0,-4.636371613E0,3.213617325E0,3.718195200E0
2.661431313E0,-2.546233416E0,1.695693374E0,3.129221678E0
2.681380688E0,2.813186944E-1,9.199720025E-1,-7.134721279E-1
2.701333188E0,-6.596025825E-1,-8.708908558E-1,-3.035847664E0
2.721289021E0,-6.652289391E0,-1.924339652E0,-1.482010841E0
2.741248188E0,-8.572439194E0,-2.362478495E0,-1.470039845E0
2.761210479E0,-5.744886875E0,-2.261922121E0,-5.394136429E0
2.781175688E0,-9.085995555E-1,-2.065597534E0,-9.775525093E0
2.801143396E0,2.481590033E0,-2.862866640E0,-1.137245846E1
2.821145844E0,3.096899986E0,-4.064755917E0,-1.043632507E1
2.841121938E0,4.776432514E-1,-4.984129429E0,-7.745242596E0
2.861080688E0,-5.158307552E0,-5.386355400E0,-3.993528366E0
2.881039438E0,-9.774328232E0,-4.924274445E0,8.259995580E-1
2.900998188E0,-1.021246719E1,-2.334346622E-2,5.614402771E0
2.920956938E0,-2.368224525E1,1.183513737E1,1.980962563E1
2.940915688E0,-5.312853241E1,2.316928864E1,3.771825409E1
2.960874438E0,-4.085824966E1,2.262101555E1,3.029143906E1
2.980833188E0,-1.513973427E1,1.443524075E1,1.780807304E1
3.000791938E0,-9.205705523E-1,1.003230381E1,8.930372238E0
3.020750688E0,3.226186752E0,8.327631950E0,2.063801765E0
3.040709438E0,5.809530258E0,6.565499783E0,-2.877830505E0
3.060691729E0,1.033457184E1,3.283049107E0,-4.900930882E0
3.080626938E0,7.978677273E0,7.547720671E-1,-2.741360903E0
3.100563084E0,1.993172884E0,1.463455796E0,4.525041282E-1
3.120501000E0,-2.932897210E-1,3.302202702E0,5.506663769E-2
3.140441417E0,1.385045648E0,4.324526787E0,-3.794809580E0
3.160384959E0,2.881421804E0,4.226364613E0,-4.917690277E0
3.180332146E0,3.101688385E0,3.498527288E0,-2.801215887E0
3.200283292E0,3.693056107E0,2.524087191E0,4.668693244E-1
3.220238500E0,3.963600874E0,1.858499050E0,4.443638325E0
3.240197771E0,2.325966835E0,2.457049608E0,1.003888798E1
3.260160896E0,-4.150348663E0,6.426635742E0,1.819593239E1
3.280127563E0,-9.903614998E0,1.350629044E1,2.064759636E1
3.300097354E0,-1.620754814E1,2.002330780E1,1.999397850E1
3.320109282E0,-3.486556244E1,2.114139938E1,3.057395554E1
3.340090740E0,-3.621828461E1,1.713590050E1,2.410003471E1
3.360049490E0,-2.436459351E1,1.159571743E1,6.852205276E0
3.380008240E0,-1.482848835E1,7.697957039E0,2.336740971E0
3.399966990E0,-7.114370346E0,3.306991100E0,4.089296341E0
3.419925740E0,-1.447294950E0,1.466448605E-1,5.140350819E0
3.439884490E0,3.315969408E-1,-1.409586191E0,2.822763920E0
3.459843240E0,-1.927332431E-1,-3.164535999E0,7.182604820E-2
3.479801990E0,-1.420958757E0,-5.154117584E0,-1.529894829E0
3.499760740E0,-1.631648421E0,-6.152499676E0,-4.553771496E0
3.519719490E0,1.304839998E-1,-5.745485306E0,-9.215282440E0
3.539678240E0,1.610100627E0,-4.809352875E0,-1.239238834E1
3.559663500E0,2.108094692E0,-3.997718334E0,-1.261265469E1
3.579622407E0,1.387439847E0,-3.945045948E0,-9.969455719E0
3.599528761E0,-1.382651448E0,-4.663306236E0,-5.379771233E0
3.619438188E0,-5.280411720E0,-5.230731964E0,-5.626373887E-1
3.639352563E0,-8.945934296E0,-3.813364744E0,2.904166698E0
3.659273448E0,-1.240555573E1,2.868852139E0,8.662221909E0
3.679202094E0,-2.521214104E1,1.658523369E1,2.211763573E1
3.699139386E0,-4.639364243E1,2.534561729E1,2.820848465E1
3.719085844E0,-3.737229156E1,2.450525284E1,1.418564510E1
3.739041625E0,-1.535760689E1,1.594119358E1,8.398859978E0
3.759006469E0,-3.722983599E-1,9.735423088E0,8.767566681E0
3.778979750E0,3.846285105E0,8.009202957E0,7.704541206E0
3.798960532E0,5.153519154E0,7.089829922E0,1.544260144E0
3.818947667E0,6.968324184E0,4.652532578E0,-2.647987127E0
3.838939750E0,2.402581453E0,2.818573952E0,-7.948749661E-1
3.858935219E0,-2.574964046E0,4.065953255E0,1.364694953E0
3.878932511E0,-1.595735431E0,5.162497520E0,-3.155557871E0
3.898923292E0,2.120065689E0,4.870404720E0,-8.259995461E0
3.918894542E0,3.501519918E0,3.907935619E0,-8.372523308E0
3.938853292E0,2.642001629E0,3.223194122E0,-4.393360138E0
3.958812042E0,2.752134800E0,2.275090218E0,-4.908113480E-1
3.978770792E0,3.915716887E0,2.066794634E0,4.848258495E0
3.998729542E0,4.408922195E0,2.871246338E0,1.039083576E1
4.018688292E0,1.397016644E0,5.746682644E0,1.310585976E1
4.038647042E0,-4.258087635E0,1.320701504E1,1.127429581E1
4.058636104E0,-2.082596397E1,2.381332779E1,1.622789955E1
4.078596209E0,-4.047756958E1,2.710296249E1,2.801215935E1
4.098492875E0,-3.351523209E1,2.152926064E1,1.763568878E1
4.118393188E0,-1.850119400E1,1.435862637E1,8.295908928E0
4.138299334E0,-8.299500465E0,8.061875343E0,9.775525093E0
