"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.703092372E2,3.070563793E0,1.238400817E0,1.146343803E1
2.703291851E2,1.397016644E0,2.160168409E0,1.557667637E1
2.703491339E2,5.877765417E-1,3.998915434E0,1.323275280E1
2.703690839E2,1.133654475E0,7.889492989E0,8.851364136E0
2.703890354E2,4.073734283E0,1.542404556E1,6.167463779E0
2.704089886E2,8.032546639E-1,2.173276711E1,1.062546730E1
2.704289436E2,-2.293764877E1,2.361221504E1,2.188779259E1
2.704489004E2,-4.099950790E1,2.735435295E1,1.779610062E1
2.704688590E2,-3.591901016E1,2.660496712E1,9.385270476E-1
2.704888193E2,-2.536536980E1,1.837609673E1,-4.747702122E0
2.705087810E2,-1.204642582E1,7.793725014E0,7.445967197E-1
2.705287552E2,-2.371456861E0,1.149815321E0,7.031770229E0
2.705487334E2,1.069011092E0,-2.685695648E0,1.028070164E1
2.705686910E2,3.196259141E-1,-5.494094372E0,7.086836815E0
2.705886486E2,-2.383427858E0,-7.380725384E0,2.346317768E0
2.706086062E2,-5.859808445E0,-8.180388451E0,-1.663970232E0
2.706285638E2,-6.185420036E0,-7.830835342E0,-5.995080948E0
2.706485214E2,-1.569399238E0,-7.636904716E0,-1.180102062E1
2.706684790E2,4.241328239E0,-7.893084526E0,-1.654632759E1
2.706884366E2,6.472724438E0,-8.438961983E0,-1.545936012E1
2.707083942E2,3.479972124E0,-8.446145058E0,-9.538499832E0
2.707283518E2,-1.334767461E0,-7.603385925E0,-3.387795448E0
2.707483094E2,-5.900510311E0,-6.066308498E0,1.276109457E0
2.707682670E2,-6.736086369E0,-3.332130194E0,3.057395458E0
2.707882314E2,-3.841496706E0,4.132990837E0,4.046200812E-1
2.708081756E2,-3.217448044E1,2.186684227E1,1.925416946E1
2.708281206E2,-6.611946869E1,3.883215714E1,2.885491943E1
2.708480669E2,-5.445252609E1,3.842274857E1,7.527369976E0
2.708680148E2,-2.592082405E1,2.389473152E1,-3.315969467E0
2.708879645E2,-4.346673012E0,1.055663395E1,-1.592144132E0
2.709079165E2,5.048174381E0,4.827309132E0,2.097320795E0
2.709278709E2,6.472724438E0,3.682880878E0,7.685387731E-1
2.709478276E2,4.715380192E0,2.955043554E0,-1.489193439E0
2.709677866E2,2.843114614E0,2.291849613E0,-1.654393315E0
2.709877479E2,2.457648039E0,1.552041292E0,-1.769315004E0
2.710077111E2,1.516726732E0,1.547252893E0,-1.391031146E0
2.710276907E2,2.278082848E0,1.695693374E0,-1.565807939E0
2.710476735E2,4.116829872E0,1.803432465E0,-1.522712231E0
2.710676311E2,4.890156746E0,1.738788962E0,2.394201700E-3
2.710875887E2,5.069722176E0,1.892017841E0,1.841141105E0
2.711075463E2,4.277241230E0,2.615066767E0,4.249708176E0
2.711275039E2,3.819948912E0,3.979761839E0,5.621585369E0
2.711474615E2,5.340266705E0,7.379528046E0,6.952761650E0
2.711674191E2,5.785588264E0,1.500266647E1,1.239957047E1
2.711873767E2,-1.015261269E1,2.372953224E1,2.368104935E1
2.712073343E2,-3.352720261E1,2.745251465E1,1.968512726E1
2.712272919E2,-4.051587677E1,3.003107071E1,-9.193734527E-1
2.712472495E2,-2.967732811E1,2.545096207E1,-1.045787334E1
2.712672072E2,-1.327704525E1,1.256297493E1,-3.466804028E0
2.712871734E2,9.445125461E-1,1.520916581E0,8.602366447E0
2.713071144E2,6.635529995E0,-3.131017208E0,1.524148846E1
2.713270564E2,4.028244495E0,-5.585073948E0,1.103726959E1
2.713469999E2,-1.871068597E0,-7.275380611E0,2.291250944E0
2.713669454E2,-6.855796337E0,-7.170035362E0,-3.976768970E0
2.713868934E2,-7.171831131E0,-5.649717331E0,-8.961497307E0
2.714068440E2,-1.985990286E0,-5.297770023E0,-1.484883881E1
2.714267976E2,2.792836189E0,-6.466140270E0,-1.691503525E1
2.714467540E2,4.133589268E0,-7.835623741E0,-1.286643982E1
2.714667134E2,2.323572636E0,-8.644864082E0,-6.517016888E0
2.714866754E2,-2.225410461E0,-8.570643425E0,-3.758896589E-1
2.715066398E2,-6.867767811E0,-7.634510517E0,3.064578056E0
2.715266248E2,-8.787917137E0,-5.470152378E0,2.308010340E0
2.715466112E2,-6.621164799E0,-6.242880821E-1,-2.169146776E0
2.715665717E2,-3.250487900E1,1.245044708E1,1.398692608E1
2.715865293E2,-5.486672211E1,2.526181984E1,2.347275352E1
2.716064869E2,-4.627153778E1,2.626977921E1,1.458308220E1
2.716264445E2,-2.689047623E1,1.907999229E1,1.050815105E1
2.716464021E2,-9.216479301E0,1.229003620E1,9.064447403E0
2.716663597E2,-2.574964046E0,9.065046310E0,8.331821442E0
2.716863173E2,-5.614402890E-1,8.327631950E0,2.494758129E0
2.717062749E2,9.516952038E-1,7.642890453E0,-2.437297344E0
2.717262325E2,1.128866076E0,6.503250599E0,-4.651933670E0
2.717461901E2,-1.556231081E-2,5.301361084E0,-4.594472885E0
2.717661477E2,-1.373074651E0,4.477755547E0,-3.529053211E0
2.717861053E2,-1.363497853E0,3.232770920E0,-2.066195965E0
2.718060629E2,-2.549824715E-1,2.093130827E0,6.679822803E-1
2.718260205E2,1.782483220E0,9.870096445E-1,3.368641853E0
2.718459781E2,3.843890905E0,6.733692288E-1,6.160281181E0
2.718659357E2,4.724956989E0,1.676539779E0,7.120356083E0
2.718858934E2,4.277241230E0,3.563170671E0,7.694964409E0
2.719058510E2,7.140706539E0,4.784213543E0,9.923966408E0
2.719258086E2,9.221267700E0,6.845621109E0,1.995567131E1
2.719457662E2,-9.896432877E0,8.504802704E0,3.669353485E1
2.719657238E2,-2.606208229E1,6.321290970E0,2.655409050E1
2.719856814E2,-2.728312492E1,7.120954514E0,2.207453966E0
2.720056390E2,-2.777154350E1,1.174176407E1,-9.057265282E0
2.720256224E2,-2.380195618E1,1.229003620E1,-6.069301128E0
2.720455810E2,-1.828571510E1,8.504802704E0,-3.567360640E-1
2.720654870E2,-1.123479176E1,5.200804710E0,2.937685490E0
2.720853961E2,-4.772840977E0,2.433107376E0,4.158728123E0
2.721053100E2,-1.279700756E0,3.956418335E-1,4.666299343E0
2.721252303E2,-1.136048675E0,-9.570821524E-1,3.315969467E0
2.721451582E2,-2.175132275E0,-1.838148355E0,4.309563041E-1
2.721650946E2,-2.381033659E0,-2.647388458E0,-4.321534157E0
2.721850400E2,-3.794809580E-1,-2.858078241E0,-1.105881786E1
2.722049946E2,1.124077678E0,-2.838924646E0,-1.571314621E1
2.722249581E2,-8.535329103E-1,-3.648164749E0,-1.489672279E1
2.722449300E2,-5.040991783E0,-6.102221489E0,-1.068292809E1
2.722649093E2,-9.266757965E0,-8.704718590E0,-4.515464306E0
2.722848948E2,-1.487876606E1,-1.047403431E1,1.855506301E0
2.723048852E2,-1.747647476E1,-6.952163219E0,6.040570736E0
2.723248790E2,-4.715499878E1,8.701127052E0,2.495476341E1
2.723448747E2,-5.871899414E1,2.049017715E1,2.581188774E1
2.723648641E2,-3.988859558E1,1.915181732E1,1.206198788E1
2.723848342E2,-1.297298145E1,1.062606525E1,5.473145008E0
2.724047918E2,-1.401805043E0,8.325238228E0,6.533776283E0
2.724247494E2,8.990227580E-1,8.811261177E0,5.104437828E0
2.724447070E2,3.032256365E0,8.466495514E0,-3.687070608E-1
2.724646647E2,3.192667961E0,7.587823868E0,-2.906560898E0
2.724846223E2,2.404975653E0,6.608595371E0,-2.492363930E0
2.725045799E2,2.546233416E0,5.689221859E0,-2.159569979E0
2.725245676E2,1.088164687E0,5.404311657E0,-1.939303398E0
2.725445281E2,9.062053561E-1,4.709993362E0,-2.312798738E0
2.725644211E2,1.911770105E0,3.278260708E0,-1.738190413E0
2.725843179E2,2.704250813E0,1.813009262E0,-1.651999205E-1
2.726042207E2,3.661931515E0,1.370081902E0,1.474828243E0
2.726241317E2,3.116053581E0,2.231994629E0,2.109291792E0
2.726440522E2,9.445125461E-1,5.600636482E0,4.944026470E0
2.726639834E2,-2.043451071E0,1.221342182E1,1.479377270E1
2.726839259E2,-2.287061119E1,1.904886818E1,3.060029221E1
2.727038799E2,-4.775355148E1,2.186923599E1,2.809356308E1
2.727238450E2,-4.293162918E1,1.906323242E1,3.488351822E0
2.727438204E2,-2.711792564E1,1.489013863E1,-1.218648624E1
2.727638052E2,-1.356195545E1,7.650073051E0,-5.834669590E0
2.727837954E2,-3.336320162E0,-4.997895956E-1,3.785232782E0
2.728037931E2,2.699462414E0,-5.223549366E0,1.099178028E1
2.728237952E2,3.748122692E0,-7.062296391E0,1.149935055E1
2.728437997E2,1.241393566E0,-8.393472672E0,4.944026470E0
2.728638046E2,-3.003525972E0,-8.115745544E0,-1.764526606E0
2.728837747E2,-4.207809448E0,-6.983287811E0,-8.762778282E0
2.729037323E2,-3.268085420E-1,-6.379949093E0,-1.602918053E1
2.729236899E2,4.140771866E0,-6.707954407E0,-1.929008293E1
2.729436475E2,2.958036184E0,-7.387907982E0,-1.439872932E1
2.729636051E2,-1.021126986E0,-7.581838131E0,-7.182605267E0
2.729835627E2,-4.229357243E0,-6.985682011E0,-2.916137695E0
2.730035203E2,-7.303512096E0,-6.628945827E0,-1.714248419E0
2.730234779E2,-1.207036781E1,-4.775833607E0,1.017535686E0
2.730434361E2,-1.784518242E1,2.133832216E0,5.051765442E0
2.730633928E2,-3.358227158E1,1.690126801E1,2.138979721E1
2.730833494E2,-6.400778198E1,3.048596954E1,3.887225723E1
2.731033062E2,-5.003761673E1,2.968630600E1,2.014002419E1
2.731232630E2,-2.331593323E1,1.740405083E1,4.053383350E0
2.731432199E2,-5.960365295E0,9.321226120E0,2.449268341E0
2.731631769E2,1.325190663E0,4.760271549E0,2.334346771E0
2.731831341E2,5.237316132E0,2.411559582E0,-1.019929886E0
2.732030914E2,6.870162010E0,1.415571809E0,-4.091690540E0
2.732230489E2,6.101623058E0,1.348534107E0,-5.173870087E0
2.732430066E2,4.428076267E0,1.425148606E0,-6.110002518E0
2.732629644E2,2.084152699E0,2.231994629E0,-6.428431511E0
2.732829235E2,1.619677424E0,2.658162355E0,-5.913678169E0
2.733028836E2,2.306813240E0,2.174533606E0,-4.517858505E0
2.733228421E2,3.300406933E0,1.207276225E0,-2.264914751E0
2.733427997E2,4.018667698E0,7.811083198E-1,5.003881454E-1
2.733627573E2,2.730587006E0,1.556829691E0,2.533065319E0
2.733827149E2,4.177882075E-1,3.072359324E0,3.636792421E0
2.734026725E2,1.868674397E0,6.680421352E0,6.751648903E0
2.734226301E2,-1.478419542E0,1.328602409E1,1.667561531E1
2.734425877E2,-2.940917587E1,2.154841423E1,3.657143021E1
2.734625453E2,-4.690839767E1,2.316928864E1,2.809835052E1
2.734825029E2,-3.809773636E1,2.025793839E1,-6.579266071E0
2.735024605E2,-2.329677963E1,1.764586449E1,-1.506431675E1
2.735224181E2,-1.100973606E1,8.270171165E0,-2.094926596E0
2.735423785E2,2.239775658E0,-8.924387097E-1,8.240841866E0
2.735623307E2,7.926004887E0,-4.239532471E0,1.408030033E1
2.735822832E2,5.462371349E0,-5.434239388E0,8.956708908E0
2.736022362E2,3.507505357E-1,-5.613804340E0,1.199495077E0
2.736221898E2,-4.150348663E0,-4.577115059E0,-3.790021181E0
2.736421441E2,-6.108805656E0,-3.119046211E0,-6.354211330E0
2.736620994E2,-3.882198095E0,-2.726397276E0,-9.382876396E0
2.736820556E2,1.219845772E0,-4.311358929E0,-1.259589481E1
2.737020127E2,5.644330502E0,-6.288969517E0,-1.245224285E1
2.737219708E2,4.581305027E0,-7.095815182E0,-7.539340973E0
2.737419298E2,-5.327098966E-1,-6.423044682E0,-2.109291792E0
2.737618895E2,-6.326677799E0,-5.410297394E0,9.074024558E-1
2.737818514E2,-9.010578156E0,-4.069544315E0,3.799597979E0
2.738018153E2,-1.096185207E1,2.083554029E0,8.461109161E0
2.738217794E2,-2.725200081E1,1.608484650E1,2.435621452E1
2.738417399E2,-5.736626816E1,2.700958824E1,2.944628716E1
2.738616974E2,-5.174947357E1,2.795051003E1,3.220201254E0
2.738816549E2,-3.012025452E1,1.850298882E1,-7.644686222E0
2.739016124E2,-1.099537086E1,9.211092949E0,-1.939303428E-1
2.739215699E2,1.480813742E0,3.881599426E0,4.797980309E0
2.739415274E2,6.312312603E0,1.767519355E0,2.734178305E0
