"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.401134345E1,5.238842128E1,4.957914550E0,6.656272062E0,3.490000010E0,2.426000061E2,3.790092468E0,2.699236393E0
9.501141496E1,5.238840479E1,4.957866470E0,7.104645808E0,3.539999962E0,2.428000031E2,3.790092468E0,2.620331049E0
9.601425106E1,5.238838935E1,4.957821970E0,6.889998236E0,3.490000010E0,2.408000031E2,3.790092468E0,2.831254244E0
9.700794913E1,5.238837463E1,4.957773950E0,7.941462920E0,3.490000010E0,2.461999969E2,3.790092468E0,2.748699427E0
9.801318184E1,5.238835918E1,4.957723580E0,8.943974997E0,3.579999924E0,2.433000031E2,3.790092468E0,2.662334681E0
9.901415720E1,5.238834477E1,4.957672370E0,9.308182403E0,3.589999914E0,2.480000000E2,3.790092468E0,2.602199793E0
1.000099465E2,5.238833107E1,4.957622350E0,9.704862218E0,3.549999952E0,2.456000061E2,3.790092468E0,2.591707230E0
1.010162993E2,5.238831623E1,4.957574240E0,9.991006855E0,3.559999943E0,2.440000000E2,3.790092468E0,2.598164558E0
1.020088493E2,5.238830477E1,4.957521820E0,8.466606921E0,3.700000048E0,2.503000031E2,3.790092468E0,3.002492666E0
1.030106460E2,5.238829290E1,4.957472420E0,8.898140782E0,3.509999990E0,2.455000000E2,3.790092468E0,3.282582760E0
1.040129660E2,5.238827941E1,4.957425110E0,8.780174041E0,3.539999962E0,2.436999969E2,3.790092468E0,3.376473665E0
1.050104321E2,5.238826522E1,4.957379670E0,8.754614619E0,3.460000038E0,2.430000000E2,3.790092468E0,3.462345600E0
1.060182959E2,5.238825161E1,4.957330860E0,8.121815290E0,3.650000095E0,2.466999969E2,3.790092468E0,3.373490810E0
1.070139693E2,5.238823712E1,4.957281780E0,8.389954490E0,3.569999933E0,2.436000061E2,3.790092468E0,3.266848564E0
1.080138049E2,5.238821986E1,4.957236730E0,1.040565069E1,3.500000000E0,2.403000031E2,3.790092468E0,3.079399109E0
1.090146979E2,5.238820392E1,4.957190070E0,1.084108660E1,3.569999933E0,2.446000061E2,3.790092468E0,3.031012535E0
1.100147012E2,5.238818955E1,4.957143310E0,1.104648318E1,3.470000029E0,2.438000031E2,3.790092468E0,2.885375977E0
1.110121380E2,5.238817420E1,4.957097440E0,1.154545799E1,3.500000000E0,2.463000031E2,3.790092468E0,3.149785042E0
1.120130767E2,5.238815460E1,4.957055300E0,1.161205587E1,3.619999886E0,2.318999939E2,3.790092468E0,3.159231901E0
1.130092122E2,5.238814293E1,4.957017130E0,1.036421424E1,2.599999905E0,2.483999939E2,3.790092468E0,2.803997040E0
1.140144776E2,5.238813172E1,4.956977990E0,1.144205630E1,2.940000057E0,2.456999969E2,3.790092468E0,2.739887714E0
1.150161823E2,5.238811902E1,4.956931570E0,1.052660586E1,3.309999943E0,2.488000031E2,3.790092468E0,2.679622889E0
1.160093316E2,5.238810768E1,4.956884290E0,1.028651085E1,3.109999895E0,2.441000061E2,3.790092468E0,2.756765842E0
1.170154042E2,5.238809318E1,4.956841630E0,9.618862769E0,3.160000086E0,2.368999939E2,3.790092468E0,2.758356810E0
1.180089604E2,5.238807538E1,4.956793000E0,1.044430953E1,3.500000000E0,2.380000000E2,3.790092468E0,2.616785526E0
1.190078293E2,5.238806269E1,4.956748880E0,1.002196347E1,3.019999981E0,2.428000031E2,3.790092468E0,2.500000000E0
1.200150452E2,5.238805413E1,4.956703840E0,1.005109981E1,3.269999981E0,2.513000031E2,3.790092468E0,2.500000000E0
