"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.227909039E1,5.238778423E1,4.950304980E0,3.600206585E0,3.410000086E0,2.283999939E2,3.790092468E0,2.500000000E0
6.328070289E1,5.238776523E1,4.950267970E0,3.525511955E0,3.319999933E0,2.251999969E2,3.790092468E0,2.500000000E0
6.427554065E1,5.238774368E1,4.950236960E0,3.745067681E0,3.240000010E0,2.173999939E2,3.790092468E0,2.500000000E0
6.527947904E1,5.238771857E1,4.950215280E0,4.109521240E0,3.289999962E0,2.041000061E2,3.790092468E0,2.500000000E0
6.628054003E1,5.238768995E1,4.950201720E0,3.897741626E0,3.369999886E0,1.966999969E2,3.790092468E0,2.500000000E0
6.727973539E1,5.238766141E1,4.950198980E0,3.845392263E0,3.140000105E0,1.846999969E2,3.790092468E0,2.500000000E0
6.827990768E1,5.238763311E1,4.950207900E0,4.570088615E0,3.130000114E0,1.728000031E2,3.790092468E0,2.500000000E0
6.928268300E1,5.238760312E1,4.950215250E0,5.083844145E0,3.349999905E0,1.801999969E2,3.790092468E0,2.500000000E0
7.027644138E1,5.238757460E1,4.950210830E0,4.892455745E0,3.119999886E0,1.933000031E2,3.790092468E0,2.500000000E0
7.128071716E1,5.238755529E1,4.950203170E0,5.238737261E0,2.029999971E0,1.955000000E2,3.790092468E0,2.500000000E0
7.228024883E1,5.238753531E1,4.950196640E0,5.592464770E0,2.400000095E0,1.921000061E2,3.790092468E0,2.500000000E0
7.327997544E1,5.238751288E1,4.950190040E0,6.281027618E0,2.440000057E0,1.936000061E2,3.790092468E0,2.500000000E0
7.427799846E1,5.238748841E1,4.950187540E0,5.137985948E0,2.519999981E0,1.820000000E2,3.790092468E0,2.500000000E0
7.528039742E1,5.238746333E1,4.950183270E0,5.003365229E0,2.539999962E0,1.931000061E2,3.790092468E0,2.500000000E0
7.627935133E1,5.238743844E1,4.950173230E0,5.203275108E0,2.529999971E0,1.976000061E2,3.790092468E0,2.500000000E0
7.727655648E1,5.238741100E1,4.950167750E0,4.456284601E0,2.740000010E0,1.833999939E2,3.790092468E0,2.500000000E0
7.827664034E1,5.238738159E1,4.950173730E0,3.703438595E0,2.859999895E0,1.678999939E2,3.790092468E0,2.500000000E0
7.928094591E1,5.238735221E1,4.950184900E0,3.552585404E0,2.819999933E0,1.668000031E2,3.790092468E0,2.500000000E0
8.028053908E1,5.238732207E1,4.950190860E0,3.061273992E0,2.920000076E0,1.755000000E2,3.790092468E0,2.500000000E0
8.127608898E1,5.238728266E1,4.950205890E0,3.027413164E0,3.539999962E0,1.591999969E2,3.790092468E0,2.500000000E0
8.227815252E1,5.238724526E1,4.950225630E0,2.645840659E0,3.359999895E0,1.613999939E2,3.790092468E0,2.500000000E0
8.328016976E1,5.238721060E1,4.950244530E0,1.950428792E0,3.369999886E0,1.591999969E2,3.790092468E0,2.500000000E0
8.427823492E1,5.238717640E1,4.950260780E0,1.079845137E0,3.410000086E0,1.646000061E2,3.790092468E0,2.500000000E0
8.528241216E1,5.238714295E1,4.950274310E0,6.825275643E-1,3.349999905E0,1.653999939E2,3.790092468E0,2.500000000E0
8.627918419E1,5.238711076E1,4.950286730E0,2.343078185E-1,3.359999895E0,1.653000031E2,3.790092468E0,2.500000000E0
8.727831950E1,5.238707731E1,4.950297160E0,1.805553333E-1,3.319999933E0,1.683999939E2,3.790092468E0,2.500000000E0
8.827982507E1,5.238704451E1,4.950306030E0,6.705650710E-1,3.279999971E0,1.711999969E2,3.790092468E0,2.500000000E0
8.927975616E1,5.238701438E1,4.950319020E0,1.247556110E0,3.259999990E0,1.656000061E2,3.790092468E0,2.500000000E0
9.027603700E1,5.238698614E1,4.950334260E0,1.621853397E0,3.279999971E0,1.631999969E2,3.790092468E0,2.500000000E0
9.127981762E1,5.238695728E1,4.950352280E0,1.903866266E0,3.269999981E0,1.608000031E2,3.790092468E0,2.500000000E0
9.227727226E1,5.238692890E1,4.950368550E0,1.570705458E0,3.250000000E0,1.613000031E2,3.790092468E0,2.500000000E0
9.327650116E1,5.238689940E1,4.950387880E0,1.654781167E0,3.269999981E0,1.578000031E2,3.790092468E0,2.500000000E0
9.427954929E1,5.238687272E1,4.950410300E0,1.911592184E0,3.200000048E0,1.513999939E2,3.790092468E0,2.500000000E0
9.528071392E1,5.238685273E1,4.950439810E0,2.286580923E0,2.660000086E0,1.335000000E2,3.790092468E0,2.500000000E0
9.627848924E1,5.238683710E1,4.950470880E0,2.667375119E0,2.579999924E0,1.378999939E2,3.790092468E0,2.500000000E0
9.727849877E1,5.238682664E1,4.950508580E0,2.144494017E0,2.759999990E0,1.099000015E2,3.790092468E0,2.500000000E0
9.827864028E1,5.238681833E1,4.950554190E0,2.246559552E0,2.609999895E0,1.120999985E2,3.790092468E0,2.500000000E0
9.928116679E1,5.238681061E1,4.950610260E0,2.945799993E0,3.180000067E0,1.031999969E2,3.790092468E0,2.500000000E0
1.002797275E2,5.238680721E1,4.950669930E0,2.343107766E0,3.349999905E0,9.509999847E1,3.790092468E0,2.500000000E0
1.012846830E2,5.238680764E1,4.950725160E0,2.524537057E0,3.210000038E0,8.830000305E1,3.790092468E0,2.500000000E0
1.022792420E2,5.238680328E1,4.950777640E0,2.422083412E0,3.309999943E0,1.030999985E2,3.790092468E0,2.500000000E0
1.032796267E2,5.238680070E1,4.950814530E0,2.899601283E-1,2.740000010E0,9.550000000E1,3.790092468E0,2.500000000E0
1.042767079E2,5.238679820E1,4.950864470E0,1.302680991E0,3.140000105E0,9.230000305E1,3.790092468E0,2.500000000E0
1.052754932E2,5.238679388E1,4.950918280E0,1.602693999E0,3.079999924E0,9.650000000E1,3.790092468E0,2.500000000E0
1.062807383E2,5.238679325E1,4.950969120E0,2.121338459E0,3.009999990E0,9.080000305E1,3.790092468E0,2.500000000E0
1.072794241E2,5.238679460E1,4.951019350E0,2.566804231E0,3.170000076E0,8.790000153E1,3.790092468E0,2.500000000E0
1.082815364E2,5.238679701E1,4.951070660E0,2.756290697E0,3.130000114E0,8.819999695E1,3.790092468E0,2.500000000E0
1.092754582E2,5.238679832E1,4.951120850E0,2.056126506E0,3.140000105E0,8.859999847E1,3.790092468E0,2.500000000E0
1.102750786E2,5.238679963E1,4.951170700E0,2.460454305E0,3.140000105E0,8.930000305E1,3.790092468E0,2.500000000E0
1.112796857E2,5.238680035E1,4.951218870E0,1.595737315E0,3.059999943E0,9.059999847E1,3.790092468E0,2.512587309E0
1.122748718E2,5.238680138E1,4.951266980E0,9.137599893E-1,3.299999952E0,8.950000000E1,3.790092468E0,2.592975855E0
1.132780395E2,5.238680236E1,4.951314670E0,1.158906371E0,3.269999981E0,8.959999847E1,3.790092468E0,2.640462399E0
1.142798021E2,5.238680382E1,4.951362240E0,1.093384422E0,3.329999924E0,8.809999847E1,3.790092468E0,2.715765238E0
1.152794574E2,5.238680413E1,4.951411030E0,9.348439671E-1,3.240000010E0,9.280000305E1,3.790092468E0,2.653507948E0
1.162760772E2,5.238680599E1,4.951462270E0,1.560486836E0,3.319999933E0,8.430000305E1,3.790092468E0,2.614040136E0
1.172795831E2,5.238680829E1,4.951511860E0,1.675692357E0,3.240000010E0,8.709999847E1,3.790092468E0,2.602138281E0
1.182748627E2,5.238680907E1,4.951560480E0,1.936769173E0,3.170000076E0,8.840000153E1,3.790092468E0,2.500000000E0
1.192769749E2,5.238681055E1,4.951609810E0,2.341280016E0,3.289999962E0,8.650000000E1,3.790092468E0,2.500000000E0
1.202815377E2,5.238681278E1,4.951658220E0,2.642947152E0,3.240000010E0,8.469999695E1,3.790092468E0,2.500000000E0
1.212790704E2,5.238681531E1,4.951705320E0,2.461215515E0,3.210000038E0,8.540000153E1,3.790092468E0,2.500000000E0
1.222847121E2,5.238681585E1,4.951755150E0,2.413882049E0,3.200000048E0,8.930000305E1,3.790092468E0,2.500000000E0
1.232784128E2,5.238681452E1,4.951804660E0,2.300749835E0,3.240000010E0,9.219999695E1,3.790092468E0,2.644980431E0
1.242751918E2,5.238681612E1,4.951854910E0,2.437805331E0,3.259999990E0,8.340000153E1,3.790092468E0,2.700917006E0
1.252784196E2,5.238681886E1,4.951901780E0,2.165497687E0,3.109999895E0,8.650000000E1,3.790092468E0,2.829326868E0
1.262800679E2,5.238682083E1,4.951950570E0,2.218812625E0,3.319999933E0,8.600000000E1,3.790092468E0,2.915296793E0
1.272777879E2,5.238682156E1,4.951999350E0,1.807770321E0,3.289999962E0,8.819999695E1,3.790092468E0,3.029146910E0
1.282753351E2,5.238682249E1,4.952047530E0,2.164794359E0,3.250000000E0,8.690000153E1,3.790092468E0,3.156131506E0
1.292795978E2,5.238682360E1,4.952094980E0,2.091642447E0,3.240000010E0,8.790000153E1,3.790092468E0,2.931427717E0
1.302795271E2,5.238682456E1,4.952142890E0,1.841671742E0,3.259999990E0,8.750000000E1,3.790092468E0,2.724012613E0
1.312805872E2,5.238682452E1,4.952188980E0,2.318810368E0,3.109999895E0,8.380000305E1,3.790092468E0,2.500000000E0
1.322802226E2,5.238682383E1,4.952234260E0,2.972583338E0,3.190000057E0,8.959999847E1,3.790092468E0,2.500000000E0
1.332794841E2,5.238681924E1,4.952281220E0,2.866036791E0,3.309999943E0,9.940000153E1,3.790092468E0,2.500000000E0
1.342801595E2,5.238681562E1,4.952328830E0,2.511750306E0,3.269999981E0,9.350000000E1,3.790092468E0,2.500000000E0
1.352800238E2,5.238681548E1,4.952377370E0,3.050230549E0,3.299999952E0,8.800000000E1,3.790092468E0,2.500000000E0
1.362781578E2,5.238681741E1,4.952426250E0,2.901519115E0,3.279999971E0,8.640000153E1,3.790092468E0,2.500000000E0
1.372817801E2,5.238681973E1,4.952474800E0,3.306457946E0,3.269999981E0,8.680000305E1,3.790092468E0,2.500000000E0
1.382765841E2,5.238682218E1,4.952525840E0,4.425143531E0,3.269999981E0,8.469999695E1,3.790092468E0,2.500000000E0
1.392805264E2,5.238682711E1,4.952576880E0,5.400644172E0,3.150000095E0,7.600000000E1,3.790092468E0,2.500000000E0
1.402776012E2,5.238683319E1,4.952625800E0,5.666977735E0,3.230000019E0,7.790000153E1,3.790092468E0,2.500000000E0
1.412819575E2,5.238684295E1,4.952672910E0,6.103664605E0,3.319999933E0,6.659999847E1,3.790092468E0,2.500000000E0
1.422810218E2,5.238685365E1,4.952718490E0,6.373481806E0,3.250000000E0,7.009999847E1,3.790092468E0,2.500000000E0
1.432801963E2,5.238686100E1,4.952765720E0,6.952926544E0,3.269999981E0,7.740000153E1,3.790092468E0,2.500000000E0
1.442777767E2,5.238686800E1,4.952813150E0,6.738913870E0,3.230000019E0,7.409999847E1,3.790092468E0,2.500000000E0
1.452797283E2,5.238687572E1,4.952856650E0,5.518857450E0,3.079999924E0,7.350000000E1,3.790092468E0,2.500000000E0
1.462797723E2,5.238688380E1,4.952900290E0,5.057224476E0,3.150000095E0,7.259999847E1,3.790092468E0,2.500000000E0
1.472775903E2,5.238689384E1,4.952945590E0,4.706984422E0,3.230000019E0,7.159999847E1,3.790092468E0,2.500000000E0
1.482805264E2,5.238690696E1,4.952988780E0,3.643734829E0,3.160000086E0,6.480000305E1,3.790092468E0,2.500000000E0
1.492800838E2,5.238692215E1,4.953032190E0,3.021711459E0,3.259999990E0,6.669999695E1,3.790092468E0,2.500000000E0
1.502794337E2,5.238693625E1,4.953078360E0,2.405120274E0,3.269999981E0,7.050000000E1,3.790092468E0,2.500000000E0
1.512801604E2,5.238694917E1,4.953124790E0,2.167922091E0,3.259999990E0,7.259999847E1,3.790092468E0,2.500000000E0
1.522795747E2,5.238696329E1,4.953173720E0,2.272890161E0,3.380000114E0,6.969999695E1,3.790092468E0,2.500000000E0
1.532765537E2,5.238697684E1,4.953221700E0,2.336169853E0,3.309999943E0,6.850000000E1,3.790092468E0,2.500000000E0
1.542782566E2,5.238698961E1,4.953266830E0,2.266145993E0,3.200000048E0,6.730000305E1,3.790092468E0,2.500000000E0
1.552807648E2,5.238700069E1,4.953312030E0,1.951185684E0,3.269999981E0,7.080000305E1,3.790092468E0,2.500000000E0
1.562750449E2,5.238701768E1,4.953355360E0,2.279665320E0,3.420000076E0,5.140000153E1,3.790092468E0,2.500000000E0
1.572783979E2,5.238703724E1,4.953395200E0,2.352165139E0,3.210000038E0,5.179999924E1,3.790092468E0,2.500000000E0
1.582794968E2,5.238705499E1,4.953434920E0,2.326273637E0,3.230000019E0,5.259999847E1,3.790092468E0,2.500000000E0
1.592786335E2,5.238707065E1,4.953474910E0,1.777002851E0,3.180000067E0,5.779999924E1,3.790092468E0,2.500000000E0
1.602784180E2,5.238708838E1,4.953514170E0,1.976330780E0,3.230000019E0,5.329999924E1,3.790092468E0,2.500000000E0
1.612818135E2,5.238710816E1,4.953551510E0,2.070435901E0,3.250000000E0,4.900000000E1,3.790092468E0,2.500000000E0
1.622752784E2,5.238713193E1,4.953582010E0,1.679862543E0,3.359999895E0,3.529999924E1,3.790092468E0,2.500000000E0
1.632801109E2,5.238715428E1,4.953613520E0,1.492534821E0,3.279999971E0,4.600000000E1,3.790092468E0,2.500000000E0
1.642795283E2,5.238717260E1,4.953645910E0,1.125697477E0,3.049999952E0,4.820000076E1,3.790092468E0,2.500000000E0
1.652782457E2,5.238719133E1,4.953678090E0,4.430036616E-1,3.160000086E0,4.940000153E1,3.790092468E0,2.500000000E0
1.662771081E2,5.238721350E1,4.953709550E0,2.943719442E-1,3.180000067E0,4.370000076E1,3.790092468E0,2.500000000E0
1.672803611E2,5.238723684E1,4.953739440E0,3.531384394E-1,3.230000019E0,4.020000076E1,3.790092468E0,2.500000000E0
1.682766804E2,5.238725896E1,4.953770550E0,4.264913106E-1,3.230000019E0,4.390000153E1,3.790092468E0,2.500000000E0
1.692778075E2,5.238728349E1,4.953796490E0,7.155428432E-1,3.309999943E0,2.989999962E1,3.790092468E0,2.500000000E0
1.702812787E2,5.238730924E1,4.953808600E0,1.560773090E-1,2.910000086E0,1.289999962E1,3.790092468E0,2.500000000E0
1.712804873E2,5.238733470E1,4.953804830E0,-3.783734826E-1,2.940000057E0,3.517000122E2,3.790092468E0,2.500000000E0
1.722746193E2,5.238735978E1,4.953792700E0,-4.618409200E-1,2.910000086E0,3.452000122E2,3.790092468E0,2.500000000E0
1.732795006E2,5.238738647E1,4.953771480E0,1.350257484E0,3.289999962E0,3.331000061E2,3.790092468E0,2.500000000E0
1.742779705E2,5.238741252E1,4.953751520E0,1.122133543E0,3.099999905E0,3.380000000E2,3.790092468E0,2.500000000E0
1.752808736E2,5.238743753E1,4.953735890E0,7.873211909E-1,3.019999981E0,3.402999878E2,3.790092468E0,2.500000000E0
1.762748870E2,5.238746421E1,4.953718720E0,4.288286796E-1,3.180000067E0,3.378999939E2,3.790092468E0,2.500000000E0
1.772804362E2,5.238749014E1,4.953702610E0,2.102893310E-1,3.069999933E0,3.411000061E2,3.790092468E0,2.500000000E0
1.782813490E2,5.238751511E1,4.953686090E0,2.833743521E-1,3.099999905E0,3.366000061E2,3.790092468E0,2.500000000E0
1.792797898E2,5.238753952E1,4.953666640E0,6.443596990E-1,3.109999895E0,3.340000000E2,3.790092468E0,2.500000000E0
1.802785230E2,5.238756386E1,4.953648800E0,8.562980331E-1,3.099999905E0,3.375000000E2,3.790092468E0,2.500000000E0
1.812791985E2,5.238758844E1,4.953629910E0,8.256213507E-1,3.150000095E0,3.341000061E2,3.790092468E0,2.500000000E0
1.822744697E2,5.238761491E1,4.953608240E0,3.374262082E-1,3.309999943E0,3.337999878E2,3.790092468E0,2.500000000E0
1.832815926E2,5.238764420E1,4.953585760E0,4.072790440E-1,3.460000038E0,3.350000000E2,3.790092468E0,2.500000000E0
1.842771302E2,5.238767497E1,4.953562620E0,2.798069429E-1,3.529999971E0,3.341000061E2,3.790092468E0,2.500000000E0
1.852754408E2,5.238770580E1,4.953538040E0,6.529795439E-2,3.569999933E0,3.337000122E2,3.790092468E0,2.500000000E0
1.862806148E2,5.238773394E1,4.953513780E0,-2.741536446E-1,3.390000105E0,3.335000000E2,3.790092468E0,2.500000000E0
1.872796269E2,5.238776040E1,4.953488200E0,-4.227514731E-1,3.450000048E0,3.301000061E2,3.790092468E0,2.500000000E0
1.882804565E2,5.238778670E1,4.953460850E0,-5.949101323E-1,3.480000019E0,3.312000122E2,3.790092468E0,2.500000000E0
1.892819444E2,5.238781357E1,4.953437760E0,-4.355225269E-1,3.430000067E0,3.377000122E2,3.790092468E0,2.500000000E0
1.902797750E2,5.238784146E1,4.953420240E0,3.374526743E-2,3.460000038E0,3.433999939E2,3.790092468E0,2.500000000E0
1.912805265E2,5.238786915E1,4.953410780E0,-2.346534218E-1,3.359999895E0,3.537999878E2,3.790092468E0,2.500000000E0
1.922791585E2,5.238789518E1,4.953417810E0,3.520576791E-1,3.140000105E0,1.750000000E1,3.790092468E0,2.500000000E0
1.932802386E2,5.238791874E1,4.953440070E0,-3.407668729E-1,3.000000000E0,2.550000000E1,3.790092468E0,2.500000000E0
1.942789016E2,5.238793957E1,4.953467970E0,-2.096174153E-1,2.980000019E0,3.629999924E1,3.790092468E0,2.500000000E0
1.952797602E2,5.238795879E1,4.953500160E0,-6.693210470E-2,2.990000010E0,4.329999924E1,3.790092468E0,2.500000000E0
1.962797250E2,5.238797809E1,4.953533150E0,-6.147369360E-1,3.009999990E0,4.070000076E1,3.790092468E0,2.500000000E0
1.972792105E2,5.238799640E1,4.953567040E0,-8.131163830E-1,2.990000010E0,4.700000000E1,3.790092468E0,2.500000000E0
1.982805273E2,5.238801573E1,4.953600660E0,-6.114701201E-1,2.990000010E0,4.270000076E1,3.790092468E0,2.500000000E0
1.992753178E2,5.238803863E1,4.953631490E0,1.803604692E-2,3.119999886E0,3.900000000E1,3.790092468E0,2.500000000E0
2.002754756E2,5.238805891E1,4.953662120E0,-2.306354628E-1,3.019999981E0,4.200000000E1,3.790092468E0,2.500000000E0
2.012806705E2,5.238807602E1,4.953694590E0,-4.820569971E-1,3.019999981E0,4.650000000E1,3.790092468E0,2.500000000E0
2.022767225E2,5.238809323E1,4.953727560E0,-6.046939174E-1,3.009999990E0,4.540000153E1,3.790092468E0,2.500000000E0
2.032801608E2,5.238811396E1,4.953755090E0,-8.387181557E-1,3.059999943E0,3.390000153E1,3.790092468E0,2.500000000E0
2.042796431E2,5.238813205E1,4.953783560E0,-6.665566416E-1,2.410000086E0,5.490000153E1,3.790092468E0,2.500000000E0
2.052795298E2,5.238814850E1,4.953812140E0,-8.133671260E-1,2.700000048E0,4.079999924E1,3.790092468E0,2.500000000E0
2.062796463E2,5.238816887E1,4.953841140E0,-6.319247105E-1,2.789999962E0,3.959999847E1,3.790092468E0,2.500000000E0
