"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.310324148E1,5.239292236E1,4.960651390E0,5.425700283E0,3.359999895E0,5.690000153E1,3.790092468E0,2.500000000E0
9.410715772E1,5.239293889E1,4.960693890E0,5.446073388E0,3.579999924E0,5.490000153E1,3.790092468E0,2.500000000E0
9.510317423E1,5.239295499E1,4.960742490E0,6.118549053E0,3.609999895E0,6.370000076E1,3.790092468E0,2.500000000E0
9.610747882E1,5.239296861E1,4.960789310E0,5.893620240E0,3.539999962E0,6.379999924E1,3.790092468E0,2.500000000E0
9.710720762E1,5.239298099E1,4.960835560E0,5.197131708E0,3.539999962E0,6.590000153E1,3.790092468E0,2.500000000E0
9.810835100E1,5.239299330E1,4.960882780E0,5.113985929E0,3.529999971E0,6.580000305E1,3.790092468E0,2.500000000E0
9.910649496E1,5.239300479E1,4.960931260E0,5.051042353E0,3.589999914E0,6.900000000E1,3.790092468E0,2.500000000E0
1.001042479E2,5.239301844E1,4.960978620E0,5.009158333E0,3.529999971E0,6.159999847E1,3.790092468E0,2.500000000E0
1.011015658E2,5.239303331E1,4.961025210E0,4.907094939E0,3.539999962E0,6.279999924E1,3.790092468E0,2.500000000E0
1.021017062E2,5.239304820E1,4.961072230E0,5.159157801E0,3.569999933E0,6.419999695E1,3.790092468E0,2.500000000E0
1.031084626E2,5.239306254E1,4.961117690E0,5.264612522E0,3.539999962E0,6.459999847E1,3.790092468E0,2.500000000E0
1.041050483E2,5.239307626E1,4.961163790E0,5.515208336E0,3.549999952E0,6.490000153E1,3.790092468E0,2.500000000E0
1.051094756E2,5.239308957E1,4.961210010E0,5.415095627E0,3.470000029E0,6.329999924E1,3.790092468E0,2.500000000E0
1.061068681E2,5.239310320E1,4.961255880E0,5.207744400E0,3.440000057E0,6.040000153E1,3.790092468E0,2.500000000E0
1.071050903E2,5.239311826E1,4.961300680E0,5.560086971E0,3.460000038E0,6.150000000E1,3.790092468E0,2.500000000E0
1.081025453E2,5.239313379E1,4.961345080E0,5.933792283E0,3.440000057E0,5.900000000E1,3.790092468E0,2.500000000E0
1.091082673E2,5.239314939E1,4.961390170E0,5.969302298E0,3.480000019E0,5.850000000E1,3.790092468E0,2.500000000E0
