"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.791727159E2,5.238934764E1,4.953714370E0,-1.946725665E0,2.900000095E0,6.179999924E1,3.790092468E0,2.500000000E0
2.801823079E2,5.238936102E1,4.953753260E0,-1.244230302E0,2.869999886E0,5.940000153E1,3.790092468E0,2.500000000E0
2.811685152E2,5.238937484E1,4.953791460E0,-1.127367038E0,2.869999886E0,5.429999924E1,3.790092468E0,2.500000000E0
2.821700299E2,5.238938875E1,4.953828680E0,-1.913214179E0,2.839999914E0,5.170000076E1,3.790092468E0,2.500000000E0
2.831705331E2,5.238940518E1,4.953859150E0,-1.771632468E0,2.730000019E0,3.770000076E1,3.790092468E0,2.500000000E0
2.841697224E2,5.238942543E1,4.953869820E0,-2.273733625E0,2.470000029E0,1.200000048E0,3.790092468E0,2.500000000E0
2.851710638E2,5.238945200E1,4.953859980E0,-2.063496437E0,3.190000057E0,3.410000000E2,3.790092468E0,2.500000000E0
2.861721751E2,5.238947933E1,4.953841340E0,-1.931754511E0,3.150000095E0,3.352999878E2,3.790092468E0,2.500000000E0
2.871683919E2,5.238950730E1,4.953822780E0,-1.671654694E0,3.269999981E0,3.378999939E2,3.790092468E0,2.500000000E0
2.881698246E2,5.238953674E1,4.953810130E0,-1.750233416E0,3.289999962E0,3.465000000E2,3.790092468E0,2.500000000E0
2.891727550E2,5.238956532E1,4.953803410E0,-1.933607267E0,3.109999895E0,3.498999939E2,3.790092468E0,2.500000000E0
2.901705867E2,5.238959454E1,4.953794760E0,-1.281776255E0,3.240000010E0,3.441000061E2,3.790092468E0,2.500000000E0
2.911673870E2,5.238962191E1,4.953785930E0,-1.521976791E0,3.009999990E0,3.451000061E2,3.790092468E0,2.500000000E0
2.921712370E2,5.238964768E1,4.953776230E0,-1.391269471E0,2.980000019E0,3.457000122E2,3.790092468E0,2.500000000E0
2.931690002E2,5.238967362E1,4.953764930E0,-1.371463720E0,3.059999943E0,3.431000061E2,3.790092468E0,2.500000000E0
2.941690969E2,5.238969953E1,4.953753060E0,-4.957013137E-1,3.119999886E0,3.445000000E2,3.790092468E0,2.500000000E0
2.951700430E2,5.238972558E1,4.953744270E0,-4.127835906E-1,3.109999895E0,3.477999878E2,3.790092468E0,2.500000000E0
2.961679521E2,5.238975083E1,4.953736980E0,-4.408890812E-1,2.869999886E0,3.452999878E2,3.790092468E0,2.500000000E0
2.971731255E2,5.238977657E1,4.953728240E0,-7.143560480E-1,3.069999933E0,3.463999939E2,3.790092468E0,2.500000000E0
2.981691296E2,5.238980290E1,4.953718950E0,-7.593679055E-1,3.039999962E0,3.465000000E2,3.790092468E0,2.500000000E0
2.991688076E2,5.238982870E1,4.953710370E0,-3.469826429E-1,2.990000010E0,3.473999939E2,3.790092468E0,2.500000000E0
3.001702130E2,5.238985419E1,4.953699660E0,-3.335394777E-2,3.009999990E0,3.437000122E2,3.790092468E0,2.500000000E0
3.011743229E2,5.238987708E1,4.953689370E0,3.424050776E-1,2.750000000E0,3.457000122E2,3.790092468E0,2.500000000E0
3.021705311E2,5.238990398E1,4.953683210E0,1.729829940E0,2.990000010E0,3.563999939E2,3.790092468E0,2.500000000E0
3.031679965E2,5.238992712E1,4.953677650E0,1.482728312E0,2.519999981E0,3.525000000E2,3.790092468E0,2.500000000E0
