"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.930951426E0,-1.093312168E1,-2.175551224E1,7.211335659E0
6.950911270E0,-3.439270735E0,-1.605252457E1,-1.661576033E0
6.970871114E0,-2.021903276E0,-1.708681870E1,1.848323703E0
6.990830958E0,-8.175002098E0,-1.821688271E1,-1.637633920E0
7.010790801E0,-1.767040634E1,-1.509484291E1,-3.303998232E0
7.030750645E0,-2.137663078E1,-1.463515663E1,-2.375048161E0
7.050710489E0,-1.510861015E1,-1.015799904E1,-8.537723541E0
7.070670333E0,-8.649053574E0,-4.373608112E0,-7.235277653E0
7.090630176E0,-1.013345909E1,-1.514931083E0,-4.410119534E0
7.110590020E0,-1.175193882E1,5.297171474E-1,-4.893748283E0
7.130549864E0,-1.176630402E1,1.688510776E0,-3.845088005E0
7.150509708E0,-1.068891335E1,1.994968534E0,-3.960009575E0
7.170469551E0,-4.813542366E0,-2.352901697E0,-7.613561153E-1
7.190429395E0,-1.854309201E0,-4.522048473E0,1.264138460E0
7.210388852E0,-2.744952202E0,-6.863577843E0,-2.920926213E-1
7.230348904E0,-5.531803131E0,-1.644996071E1,-1.120965195E1
7.250308747E0,-1.113423538E1,-2.889502144E1,-7.321468830E0
7.270268591E0,-1.249892998E1,-2.893332863E1,-6.234501362E0
7.290228435E0,-7.940370083E0,-2.380494881E1,-1.177947283E0
7.310188279E0,-1.878251195E0,-2.319203377E1,3.169923067E0
7.330148122E0,-2.023100406E-1,-2.002210999E1,3.442862034E0
7.350107966E0,-4.373009205E0,-1.101512337E1,3.270479441E0
7.370067758E0,-4.425682068E0,-4.823718071E0,3.246537447E0
7.390027549E0,3.052607179E-1,-3.602674961E0,2.844311714E0
7.409987341E0,2.867056608E0,-2.295440912E0,1.896207690E0
7.429947133E0,1.789665818E0,1.856104851E0,6.507440090E0
7.449906924E0,-1.126471877E0,4.379593372E0,1.120965195E1
7.469866716E0,-9.971849918E-1,3.397970676E0,-6.895300746E-1
7.489826508E0,6.260837317E-1,-1.696890473E0,-4.587290287E0
7.509786299E0,-2.960430384E0,-3.023278236E0,-2.964021683E0
7.529746091E0,-3.262099743E0,-5.503671169E0,6.368576527E0
7.549705883E0,-1.428141356E0,-6.514024258E0,3.442862034E0
7.569665674E0,1.756146908E0,-3.896563351E-1,-3.125390816E1
7.589625466E0,-7.188590527E0,-1.856164742E1,1.527021885E1
7.609585258E0,-4.133589268E0,-2.109950066E1,3.294421434E0
7.629545049E0,-7.155071735E0,-1.487936497E1,1.685518026E0
7.649504841E0,-8.524555206E0,-9.741408348E0,1.714248419E0
7.669464633E0,-6.886921406E0,-6.600215435E0,3.457227230E0
7.689424424E0,-1.653196216E0,-9.181164742E0,3.950432777E0
7.709384216E0,-4.736927986E0,-1.322736549E1,3.189076662E0
7.729344008E0,-5.230133533E0,-2.192310715E1,6.440402508E0
7.749303799E0,-1.131140614E1,-2.343145370E1,-9.433155060E0
7.769263591E0,-1.011909389E1,-1.795351982E1,-1.474349403E1
7.789223383E0,-2.649184227E0,-1.017236423E1,-1.768836212E1
7.809183174E0,1.444900751E0,-3.205237627E0,-1.816241455E1
7.829142966E0,1.976413488E0,7.116764784E-1,-7.182605267E-1
7.849102758E0,-2.500743628E0,2.976591349E0,6.172252178E0
7.869062549E0,-8.122329712E0,-2.803011656E0,-5.521028996E0
7.889022341E0,-1.037287903E1,-7.069478989E0,-1.259828949E1
7.908982133E0,-1.304839998E-1,-1.270543003E1,1.130063176E0
7.928941976E0,3.092111588E0,-1.640207672E1,2.614468336E0
7.948901820E0,-5.833472252E0,-1.622490692E1,3.337517262E0
7.968861664E0,-2.099355698E1,-1.894950867E1,-1.332612705E1
7.988821508E0,-1.667441750E1,-2.545694733E1,-1.091755962E1
8.008781351E0,-7.475894928E0,-2.598846054E1,9.576806799E-3
8.028741195E0,-2.433706045E0,-2.244983101E1,3.428496838E0
8.048701039E0,5.398924947E-1,-1.754650497E1,3.351882458E0
8.068660883E0,-3.651157618E-1,-1.082837582E1,1.661576033E0
8.088620726E0,-3.329137564E0,-5.910685539E0,6.991068721E-1
8.108580570E0,-3.391386747E0,-2.922721624E0,1.637633920E0
8.128540414E0,-1.256955862E-1,-6.434416771E-1,1.149216771E0
8.148500258E0,3.585317135E0,2.472013235E-1,1.637633920E0
8.168460101E0,6.094440460E0,5.566519126E-2,4.204218388E0
8.188419945E0,6.989871979E0,8.439560980E-2,6.464344501E0
8.208379789E0,3.465606928E0,1.123479128E0,6.675034523E0
8.228339633E0,-1.806425214E0,1.942296147E0,5.784391403E0
